Sentence,Labels
do not look attractive,Appearance
should have died in the past,Mistreatment
are worth less than cis/hetero,"Family & relationship, Belief, Social status, Mistreatment"
are responsible for women being promiscuous,"Family & relationship, Crime, Morality"
can't operate vehicles,Ability
can be called cunts,Family & relationship
with mental illlness should kill themselves,Health
are kinky,Family & relationship
are going to die no matter what,Mistreatment
are weak so it's easy to make fun of them,Ability
can't get around without special assistance,Ability
are allowed to be beat by their men,Mistreatment
all want to blow up things,"Crime, Morality, Mistreatment"
doesn't eat,Ability
with mental disorders all have down syndrome,Health
are child predators,"Crime, Morality"
are low level,Social status
are responsible for the killings,"Crime, Morality, Mistreatment"
aren't important and belong in the kitchen/fridge,"Family & relationship, Social status, Mistreatment"
need to be intimidated,Mistreatment
should be stoned,Mistreatment
are war gorillas,"Appearance, Ability, Social status, Personality"
should be sub-servant,"Social status, Mistreatment, Personality"
turn into ash in death,Social status
are responsible for their assaults,Crime
aren't classy,"Ability, Social status, Personality"
was ok to whip black slaves,"Crime, Morality, Mistreatment"
look like they're burnt to a crisp,Appearance
are always whining,"Family & relationship, Personality"
should be hung by the kkk or other hate groups,Mistreatment
cook animals,"Crime, Morality"
are defined by their skin color,"Appearance, Social status"
are africans not americans,Social status
have nothing,Financial status
are a primitive people,Social status
are the lowest form of human life,Social status
are members of al qaeda,Crime
live a worthless life,"Financial status, Ability, Social status"
can't live a normal life,"Health, Ability"
are ignored,Mistreatment
use gun violence,"Crime, Morality"
is stupid/pitiable,Ability
is worthless,Ability
were cremated,Mistreatment
are the cleaners,Social status
have different baby daddies,Family & relationship
don't have leadership ability,Ability
cry over anything,Personality
all dress like men,"Family & relationship, Social status"
wear make up so they aren't ugly,Appearance
who are undocumented should be referred to as illegal(s),"Crime, Social status, Mistreatment"
can choose to be bi,Family & relationship
aren't accepted,Social status
shouldn't be feminisits,"Family & relationship, Belief"
aren't worth looking at,Appearance
whine,Personality
make america weak,Social status
get off easily in the criminal justice system,"Crime, Social status, Mistreatment"
don't deserve friends,Family & relationship
of color have it too easy,"Appearance, Social status"
don't belong in some areas,Swear words
nonwhites are people you shouldn't be around,"Swear words, Social status, Personality"
should be white,"Appearance, Social status"
think they're smart,"Ability, Personality"
are all sex workers,Family & relationship
are spoiled with attention,"Ability, Personality"
have to be manly,"Family & relationship, Ability, Personality"
that is a hoe will always be a hoe,Family & relationship
likes trans women,Family & relationship
touch little boys,Crime
scare off black people,"Morality, Personality"
got called the slur which then got associated with all asian looking people,"Social status, Mistreatment"
shoot schools,"Crime, Morality"
are beneath men,Social status
can only have one child,Family & relationship
who sleep around are manipulative,Personality
love orgies,Family & relationship
aren't worth as much as non disabled folks,"Health, Ability"
cannot legitimately experience mental illness or misfortune in any meaningful way,Health
should be cooking,Mistreatment
has no sex,Family & relationship
are only as good as how they look,Appearance
target liberals,Belief
has large breasts,Appearance
have yellow skin,Appearance
are targets of pedos,Mistreatment
should wash clothes,"Ability, Social status, Mistreatment"
aren't full people,Personality
are responsible for originating aids,Health
gets caught,Crime
were harmed/killed in the attacks,Mistreatment
aren't good at shooting games,Ability
cant take care of things,Ability
are worth name calling,Mistreatment
being assertive are bitchy,"Family & relationship, Social status, Personality"
are trivial,Mistreatment
dress slutty,"Appearance, Personality"
are misinformed,Ability
are more likely to engage in relationships with younger people,Family & relationship
look the same,Appearance
use sex as a means for social gain,"Family & relationship, Morality, Social status"
are n*ggers/inferior,Swear words
are fools,"Swear words, Personality"
just use men for things,"Family & relationship, Morality"
are defined by their man,"Family & relationship, Social status, Mistreatment"
are unsettling,Personality
should only clean,"Social status, Mistreatment"
can't protect their land,Ability
is the worst,"Swear words, Ability, Social status, Personality"
should be predjuced against,Mistreatment
can get birth to miscarrages,Health
die very young of poverty and hunger,Financial status
are stupid and can be trapped easily,Ability
are usually assaulted by someone they know,Mistreatment
are worse than animals and pests,"Morality, Swear words, Personality"
shouldn't be raped if they're strong,"Health, Ability, Social status"
are the property of other races,Mistreatment
didn't want to help black people,"Morality, Appearance"
was a good way to eliminate jews,Mistreatment
died in the halocaust,Mistreatment
with suicidal thoughts should just die,Health
always shoot each other,Crime
cant live long,Health
is meaningless,Social status
all act savage,"Morality, Swear words, Personality"
has backward culture,Culture
are no good at music,Ability
were killed in showers,Mistreatment
are uncivilized,"Morality, Ability, Social status, Personality"
has an odor,"Health, Appearance, Culture"
ignore sexual violence,"Family & relationship, Crime, Morality"
beat things,Crime
is like a disease,"Swear words, Social status, Personality"
should groom to please male standards,"Family & relationship, Social status, Mistreatment"
are not as qualified,Ability
participate in mob violence,Crime
shouldn't be sexual,Family & relationship
