Sentence,Antonym,Labels
prey on young girls, protect and care for young girls,Morality
are unhealthily underweight, are healthily at a healthy weight,Health
is owned by someone else,is not owned by anyone,Social status
"are ""downs""", are giants,"Health, Social status"
are right in killing their victims, are wrong in harming their victims,Crime
enjoy feces,do not enjoy dirty things,Health
shouldn't be sports announcers, should be sports announcers,"Ability, Social status"
don't drive as well as men, drive just as well as men,Ability
are bad at comedy, are skilled at comedy,Ability
use sex to get what they want from men, value sexual experiences with men for their own pleasure and satisfaction,Family & relationship
make their new country weak, make their new country strong,Ability
can be locked away, can be set free,Mistreatment
are all guilty,are not all guilty,"Crime, Morality"
are only good for their vaginas, are valuable and multi-dimensional individuals who possess many talents and qualities beyond their reproductive organs,Family & relationship
don't know math, do know math,Ability
are the ones who cook,are not necessarily the ones who cook,Social status
don't stand up for their beliefs, do stand up for their beliefs,"Belief, Ability, Personality"
are aliens, are humans,"Social status, Culture"
quit jobs, are promoted,Ability
who have sex frequently are looser, Who have sex frequently are more satisfied,Family & relationship
are shallow,are thoughtful,"Appearance, Personality"
has ashy skin, has radiant skin,Appearance
want to look more white, embrace and celebrate my natural skin tone,Appearance
are not valued as much as cows, are valued more than cows,Social status
are shamed, are proud,Morality
mess up everything, improve everything,Ability
come from a backwards country, come from a progressive and forward-thinking country,"Social status, Culture"
are homophobes, are accepting and inclusive,"Family & relationship, Belief"
carry weapons, promote peace,Crime
don't like to work, enjoy working,Ability
will sacrifice their kids, will prioritize the well-being of their children,"Family & relationship, Crime, Belief, Personality"
can be beat, cannot be defeated,Mistreatment
contribute nothing to society, contribute greatly to society,Ability
are always taking things, are always giving things,"Crime, Financial status, Morality"
don't know how to be social, know how to be sociable,Personality
are like skeletons, are living beings,Appearance
are criminials, are law-abiding citizens,Crime
are cleaners in the house,are not necessarily cleaners in the house,Social status
hate their lives, love their lives,Belief
are failures, are successful,Ability
